CONTRATO|TIPO|IDENTIFICADOR|FECHA|
A0100000000006Q|PR |000008074647116|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647116        ContratoPR          18503758_807464711602_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503758_807464711602_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647115|09/03/2005|000000                                                                                                                                                                AF-01-ESIN-26       00000000006Q|PR |000008074647115        ContratoPR          18503757_807464711503_AF-01-ESIN-26_C_0_20170518.PDF                                             MASIVO      S8503757_807464711503_AF-01-ESIN-26_C_0_20170518.PDF
A0100000000006Q|PR |000008074647115|19/06/2007|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647115        ContratoPR          18503757_807464711503_AF-05-CERA-14_C_0_20170518.PDF                                             MASIVO      S8503757_807464711503_AF-05-CERA-14_C_0_20170518.PDF
A0100000000006Q|PR |000008074647115|08/05/2007|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647115        ContratoPR          18503757_807464711503_AF-03-CORR-02_C_0_20170518.PDF                                             MASIVO      S8503757_807464711503_AF-03-CORR-02_C_0_20170518.PDF
A0100000000006Q|PR |000008074647115|10/05/2007|000000                                                                                                                                                                AF-03-PRPE-08       00000000006Q|PR |000008074647115        ContratoPR          18503757_807464711503_AF-03-PRPE-08_C_0_20170518.PDF                                             MASIVO      S8503757_807464711503_AF-03-PRPE-08_C_0_20170518.PDF
A0100000000006Q|PR |000008074647115|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647115        ContratoPR          18503757_807464711503_AF-08-INLI-01_C_0_20170518.PDF                                             MASIVO      S8503757_807464711503_AF-08-INLI-01_C_0_20170518.PDF
A0100000000006Q|PR |000008074647168|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647168        ContratoPR          18503801_807464716801_AF-08-INLI-01_C_20170518.PDF                                               MASIVO      S8503801_807464716801_AF-08-INLI-01_C_20170518.PDF
A0100000000006Q|PR |000008074647170|01/01/1901|000000                                                                                                                                                                AF-05-CERA-14       00000000006Q|PR |000008074647170        ContratoPR          18503803_807464717007_AF-05-CERA-14_O_20170518.PDF                                               MASIVO      S8503803_807464717007_AF-05-CERA-14_O_20170518.PDF
A0100000000006Q|PR |000008074647170|01/01/1901|000000                                                                                                                                                                AF-08-INLI-01       00000000006Q|PR |000008074647170        ContratoPR          18503803_807464717007_AF-08-INLI-01_C_20170518.PDF                                               MASIVO      S8503803_807464717007_AF-08-INLI-01_C_20170518.PDF
A0100000000006Q|PR |000008074647074|21/09/2007|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-03-CORR-01_C_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-03-CORR-01_C_0_20170517.PDF
A0100000000006Q|PR |000008074647074|12/06/2005|000000                                                                                                                                                                AF-03-CORR-01       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-03-CORR-01_O_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-03-CORR-01_O_0_20170517.PDF
A0100000000006Q|PR |000008074647074|28/06/2005|000000                                                                                                                                                                AF-03-CORR-02       00000000006Q|PR |000008074647074        ContratoPR          18503721_807464707402_AF-03-CORR-02_C_0_20170517.PDF                                             MASIVO      S8503721_807464707402_AF-03-CORR-02_C_0_20170517.PDF
