Codigo Promo;Propietario;Provincia;Localidad;Calle;Numero;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPublico;PrecioAlquiler;
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106046";"3970##3970_0001_PE0001";"Nave";"171823.078125";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106047";"3970##3970_0001_PE0002";"Local";"40076.171875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106048";"3970##3970_0001_PE0003";"Local";"48663.9296875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106049";"3970##3970_0001_PE0004";"Nave";"152186.15625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106050";"3970##3970_0001_PE0005";"Nave";"171823.078125";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106051";"3970##3970_0001_PE0006";"Nave";"171823.078125";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106052";"3970##3970_0001_PE0007";"Nave";"171823.078125";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106053";"3970##3970_0001_PE0008";"Nave";"186550.765625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106054";"3970##3970_0001_PE0009";"Nave";"166913.84375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106055";"3970##3970_0001_PE0010";"Local";"81106.5390625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106056";"3970##3970_0001_PE0011";"Nave";"166913.84375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106057";"3970##3970_0001_PE0012";"Local";"60114.26171875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106058";"3970##3970_0001_PE0013";"Oficina";"57251.6796875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106059";"3970##3970_0001_PE0014";"Local";"52480.7109375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106060";"3970##3970_0001_PE0015";"Oficina";"71564.6015625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106061";"3970##3970_0001_PE0016";"Nave";"152186.15625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106062";"3970##3970_0001_PE0017";"Oficina";"66793.6171875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106063";"3970##3970_0001_PE0018";"Oficina";"60114.26171875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106064";"3970##3970_0001_PE0019";"Local";"85877.5234375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106065";"3970##3970_0001_PE0020";"Oficina";"57251.6796875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106066";"3970##3970_0001_PE0021";"Oficina";"49618.12109375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106067";"3970##3970_0001_PE0022";"Oficina";"81106.5390625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106068";"3970##3970_0001_PE0023";"Oficina";"81106.5390625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106069";"3970##3970_0001_PE0024";"Oficina";"85877.5234375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106070";"3970##3970_0001_PE0025";"Oficina";"53434.8984375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106071";"3970##3970_0001_PE0026";"Nave";"211096.921875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106072";"3970##3970_0001_PE0027";"Nave";"147276.921875";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106073";"3970##3970_0001_PE0028";"Nave";"220915.375";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106074";"3970##3970_0001_PE0029";"Nave";"152186.15625";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106075";"3970##3970_0001_PE0030";"Nave";"151204.3125";"0";
"IDD55233";"LLEIRA";"Guadalajara";"Guadalajara";"FRANCISCO ARITIO";"119";"19004";"106076";"3970##3970_0001_PE0031";"Nave";"147276.921875";"0";
