Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"IDD49678";"SAREB";"Murcia";"Murcia";"Iniestas";"5";"30007";"61886";"2001##00327273";"Piso";"66600";"0";
"IDD49678";"SAREB";"Murcia";"Murcia";"Iniestas";"5";"30007";"63269";"2001##00335474";"Piso";"79600";"0";
"IDD49678";"SAREB";"Murcia";"Murcia";"Iniestas";"5";"30007";"63295";"2001##00331692";"Piso";"65300";"0";
"IDD17784";"SAREB";"Málaga";"Malaga";"ANDORRA";"3";"29013";"51652";"2001##00315745";"Local";"88700";"0";
"IDD50996";"WIP";"Asturias";"Oviedo";"Tapia de Casariego";"17";"33170";"99148";"2008##2008_0042_PE0035";"Piso";"43400";"0";
"IDD50996";"WIP";"Asturias";"Oviedo";"Tapia de Casariego";"17";"33170";"99223";"2008##2008_0042_PE0118";"Piso";"49400";"0";
"IDD50996";"WIP";"Asturias";"Oviedo";"Tapia de Casariego";"17";"33170";"99811";"2008##2008_0042_PE0130";"Garaje";"11600";"0";
"IDD62917";"SAREB";"Almería";"Vera";"DE ESPAÑA";"4";"4620";"64971";"2001##00333470";"Piso";"68900";"0";
"IDD23131";"SAREB";"Castellón";"Vall";"BLASCO IBAÑEZ";"37";"12600";"85451";"2001##00313116";"Local";"174000";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73218";"2001##00313778";"Garaje";"11300";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73219";"2001##00313779";"Garaje";"11300";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73220";"2001##00313780";"Garaje";"10400";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73222";"2001##00313782";"Garaje";"10400";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73224";"2001##00313784";"Garaje";"8600";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73225";"2001##00313785";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73226";"2001##00313786";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73228";"2001##00313788";"Garaje";"8900";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73229";"2001##00313789";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73230";"2001##00313790";"Garaje";"11300";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73231";"2001##00313791";"Garaje";"11300";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73232";"2001##00313792";"Garaje";"10400";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73233";"2001##00313793";"Garaje";"8900";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73234";"2001##00313794";"Garaje";"10400";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73235";"2001##00313795";"Garaje";"8900";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73236";"2001##00313796";"Garaje";"8600";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73237";"2001##00313797";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73238";"2001##00313798";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73240";"2001##00313800";"Garaje";"11300";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73241";"2001##00313801";"Garaje";"11300";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73242";"2001##00313802";"Garaje";"10400";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73243";"2001##00313803";"Garaje";"8900";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73244";"2001##00313804";"Garaje";"10400";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73246";"2001##00313806";"Garaje";"8600";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73247";"2001##00313807";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73248";"2001##00313808";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"73249";"2001##00313809";"Garaje";"9800";"0";
"IDD23132";"SAREB";"Tarragona";"Cambrils";"MARIA FORTUNY";"7";"43850";"76557";"2001##00313777";"Garaje";"9800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73434";"2001##00302221";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73436";"2001##00302222";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73657";"2001##00302220";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73658";"2001##00302223";"Piso";"174600";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73659";"2001##00302224";"Piso";"174600";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73660";"2001##00302225";"Piso";"192400";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73661";"2001##00302226";"Piso";"187200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73662";"2001##00302227";"Piso";"206100";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73663";"2001##00302228";"Piso";"187700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73664";"2001##00302229";"Piso";"181900";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73665";"2001##00302230";"Piso";"221800";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73666";"2001##00302231";"Piso";"173500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73667";"2001##00302232";"Piso";"217600";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73668";"2001##00302233";"Piso";"193500";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73669";"2001##00302234";"Piso";"177700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73670";"2001##00302235";"Piso";"181900";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73671";"2001##00302236";"Piso";"176700";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73672";"2001##00302237";"Piso";"188200";"0";
"IDD16606";"SAREB";"Madrid";"Velilla";"BERLIN";"12";"28891";"73673";"2001##00302238";"Piso";"188200";"0";
