Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"00318344";"SAREB";"Girona";"Palafrugell";"AMPLE";"130";"17200";"51125";"2001##00318344";"Piso";"78200";"0";
"00329668";"SAREB";"Baleares";"Manacor";"CALA DOMINGOS";"167";"7689";"64682";"2001##00329668";"Piso";"126400";"0";
"00322343";"SAREB";"Barcelona";"Vilanova";"PLATON";"15";"8788";"51551";"2001##00322343";"Piso";"96300";"0";
"00329655";"SAREB";"Baleares";"Alcudia";"TORRETA";"5";"7400";"64680";"2001##00329655";"Piso";"188200";"0";
"00333182";"SAREB";"Castellón";"Villarreal";"SAN BLAS";"84-86";"12540";"64683";"2001##00333182";"Piso";"389500";"0";
"00327770";"SAREB";"Barcelona";"Gelida";"CORBERA";"S/N";"8790";"63596";"2001##00327770";"Casa";"112200";"0";
"00331196";"SAREB";"Barcelona";"Terrassa";"PAU MARSAL";"151";"8222";"109094";"2001##00331196";"Piso";"114800";"0";
"00316803";"SAREB";"Baleares";"Calvia";"RAMON DE MONCADA";"38";"7180";"88273";"2001##00316803";"Local";"103600";"0";
"00317584";"SAREB";"Barcelona";"Sabadell";"GUADALQUIVIR";"5";"8202";"50234";"2001##00317584";"Piso";"84600";"0";
"00331322";"SAREB";"Barcelona";"Terrassa";"ABAD MARCET";"350";"8225";"88678";"2001##00331322";"Piso";"175300";"0";
"00320142";"SAREB";"Tarragona";"El";"BENVINGUT SOCIAS";"54";"43700";"51422";"2001##00320142";"Piso";"83900";"0";
"00335572";"SAREB";"Baleares";"Campos";"RONDA DE CATALUNYA";"0031";"7630";"64705";"2001##00335572";"Piso";"166400";"0";
"00318293";"SAREB";"Barcelona";"Barcelona";"MARE DE DEU DE LORDA";"55";"8033";"51908";"2001##00318293";"Piso";"98000";"0";
"00319380";"SAREB";"Madrid";"Getafe";"DOÑA ROMERA";"10";"28901";"50395";"2001##00319380";"Piso";"95600";"0";
"00327789";"SAREB";"Barcelona";"Vilanova";"DE LA POBLA";"153";"8788";"63602";"2001##00327789";"Piso";"99900";"0";
"00328677";"SAREB";"Murcia";"Fortuna";"SAN FRANCISCO";"10";"30620";"63624";"2001##00328677";"Local";"190400";"0";
"00300019";"SAREB";"Zaragoza";"Zaragoza";"José Pellicer";"9";"50007";"59656";"2001##00300019";"Piso";"99200";"0";
"00327555";"SAREB";"Baleares";"Santa";"LLAÜT";"1";"7320";"63623";"2001##00327555";"Oficina";"100000";"0";
"00329829";"SAREB";"Barcelona";"Sant";"SOLER I PUIGDOLLERS";"105-107";"8295";"67297";"2001##00329829";"Piso";"84700";"0";
"00335593";"SAREB";"Girona";"Girona";"HORTENSIA-VILARROJA";"8";"17004";"67299";"2001##00335593";"Piso";"58600";"0";
"00334761";"SAREB";"Girona";"Lloret";"Oliva";"6";"17310";"67298";"2001##00334761";"Piso";"149600";"0";
"00300063";"SAREB";"Huesca";"Grañen";"Huesca";"38";"22260";"48002";"2001##00300063";"Piso";"115000";"0";
"00300016";"SAREB";"Zaragoza";"Zaragoza";"Burgos";"22";"50005";"48138";"2001##00300016";"Piso";"75600";"0";
"00319795";"SAREB";"Barcelona";"Badalona";"DEMOCRACIA";"58";"8914";"81221";"2001##00319795";"Piso";"131300";"0";
"00320207";"SAREB";"Barcelona";"Malgrat";"CARACAS";"10";"8380";"56511";"2001##00320207";"Piso";"87500";"0";
"00318025";"SAREB";"Barcelona";"Badalona";"PAU PIFERRER";"57";"8914";"53792";"2001##00318025";"Piso";"87700";"0";
"00300125";"SAREB";"Zaragoza";"Puebla";"rio piedra";"37";"50171";"47953";"2001##00300125";"Piso";"133000";"0";
"00320118";"SAREB";"Navarra";"Mendigorria";"LAS PARRAS";"2";"31150";"56774";"2001##00320118";"Piso";"81600";"0";
"00320402";"SAREB";"Barcelona";"Barcelona";"JOSEP SOLE I BARBERA";"11";"8042";"55465";"2001##00320402";"Piso";"72800";"0";
"00320421";"SAREB";"Barcelona";"Badalona";"NATZARET";"6";"8913";"54466";"2001##00320421";"Piso";"79500";"0";
"00320083";"SAREB";"Barcelona";"Terrassa";"GUADALHORCE";"6";"8223";"52677";"2001##00320083";"Piso";"85700";"0";
"00300069";"SAREB";"Zaragoza";"Zaragoza";"Bolivia";"113";"50010";"59660";"2001##00300069";"Piso";"0";"401";
"00319988";"SAREB";"Tarragona";"Salou";"FONOLL";"3";"43840";"56604";"2001##00319988";"Apartamento";"78800";"0";
"00339506";"SAREB";"Tarragona";"Mora";"CL GARDENIA";"2";"43740";"108074";"2001##00339506";"Garaje";"17100";"0";
"00319800";"SAREB";"Barcelona";"Terrassa";"ANGEL SALLENT";"114";"8224";"50991";"2001##00319800";"Piso";"108600";"0";
"00320231";"SAREB";"Barcelona";"Rubi";"PITAGORAS";"5";"8191";"55627";"2001##00320231";"Piso";"115500";"0";
"00332965";"SAREB";"Baleares";"Es";"HOSTAL";"2";"7720";"64651";"2001##00332965";"Local";"110600";"0";
"00320413";"SAREB";"Barcelona";"Rubi";"CAN CABANYES";"4";"8191";"51829";"2001##00320413";"Piso";"105800";"0";
"00327302";"SAREB";"Barcelona";"Subirats";"Oliveres";"31-33";"8739";"63627";"2001##00327302";"Nave";"1220500";"0";
"00333360";"SAREB";"Madrid";"Valdetorres";"Rodanillos";"4";"28150";"64672";"2001##00333360";"Piso";"115400";"0";
"00333028";"SAREB";"Tarragona";"La";"MASRICART";"66";"43110";"64671";"2001##00333028";"Piso";"92000";"0";
"00322676";"SAREB";"Lleida";"Lleida";"ANSELM CLAVE";"1";"25007";"90057";"2001##00322676";"Piso";"125800";"0";
"00340008";"SAREB";"Málaga";"Estepona";"C/  FRASQUITO GIL";"83";"29680";"99733";"2001##00340008";"Local";"63000";"0";
"00332004";"SAREB";"Baleares";"Campos";"SILOS";"101";"7630";"63633";"2001##00332004";"Piso";"325500";"0";
"00328927";"SAREB";"Valencia";"Sollana";"IRLANDA";"7C";"46430";"63637";"2001##00328927";"Nave";"247400";"0";
"00330860";"SAREB";"Barcelona";"Sant";"NOU";"26";"8359";"63649";"2001##00330860";"Piso";"240900";"0";
"00328006";"SAREB";"Barcelona";"Sabadell";"CELLERS";"53";"8205";"64676";"2001##00328006";"Piso";"220500";"0";
"00333622";"SAREB";"Jaén";"Linares";"PINTOR ROSALES";"3";"23700";"64674";"2001##00333622";"Local";"159500";"0";
"00328657";"SAREB";"Baleares";"Manacor";"CREUERS";"26";"7500";"63658";"2001##00328657";"Local";"1057600";"0";
