Código Promo;Propietario;Provincia;Localidad;Calle;Número;Cp;Id_Inmueble;Referencia;Tipo;PrecioVentaPúblico;PrecioAlquiler;
"00329668";"SAREB";"Baleares";"Manacor";"CALA DOMINGOS";"167";"7689";"64682";"2001##00329668";"Piso";"126400";"0";
"00332562";"SAREB";"Barcelona";"Castellet";"Cunit";"34";"8729";"64967";"2001##00332562";"Piso";"160300";"0";
"00322343";"SAREB";"Barcelona";"Vilanova";"PLATON";"15";"8788";"51551";"2001##00322343";"Piso";"96300";"0";
"00318042";"SAREB";"Barcelona";"Barcelona";"CA N&amp;apos;OLIVA";"6";"8020";"55744";"2001##00318042";"Piso";"100000";"0";
"00316763";"SAREB";"Baleares";"Ciutadella";"LOS DELFINES";"2";"7769";"51616";"2001##00316763";"Local";"114000";"0";
"00300073";"SAREB";"Zaragoza";"Tauste";"Padre Damián";"4";"50660";"48105";"2001##00300073";"Piso";"94800";"0";
"00331196";"SAREB";"Barcelona";"Terrassa";"PAU MARSAL";"151";"8222";"109094";"2001##00331196";"Piso";"114800";"0";
"00318293";"SAREB";"Barcelona";"Barcelona";"MARE DE DEU DE LORDA";"55";"8033";"51908";"2001##00318293";"Piso";"98000";"0";
"00319546";"SAREB";"Barcelona";"Santa";"SANT FRANCESC";"24";"8923";"53452";"2001##00319546";"Piso";"111000";"0";
"00335572";"SAREB";"Baleares";"Campos";"RONDA DE CATALUNYA";"0031";"7630";"64705";"2001##00335572";"Piso";"166400";"0";
"00318487";"SAREB";"Barcelona";"Vic";"GENERALITAT";"44";"8500";"51979";"2001##00318487";"Piso";"88200";"0";
"00318230";"SAREB";"Madrid";"Madrid";"CASTRO DE ORO";"45";"28019";"53938";"2001##00318230";"Piso";"88400";"0";
"00327789";"SAREB";"Barcelona";"Vilanova";"DE LA POBLA";"153";"8788";"63602";"2001##00327789";"Piso";"99900";"0";
"00300106";"SAREB";"Zaragoza";"Zaragoza";"Ntra. Sra. Del Pilar";"12";"50003";"48077";"2001##00300106";"Oficina";"165500";"0";
"00318569";"SAREB";"Tarragona";"Calafell";"PISUERGA";"27";"43882";"50581";"2001##00318569";"Piso";"88400";"0";
"00327555";"SAREB";"Baleares";"Santa";"LLAÜT";"1";"7320";"63623";"2001##00327555";"Oficina";"100000";"0";
"00334276";"SAREB";"Alicante";"San";"NIDO EAGLE NEST";"25";"3189";"65603";"2001##00334276";"Piso";"81900";"0";
"00332549";"SAREB";"Baleares";"Sa";"GENERAL CABRINETTI";"27";"7420";"65606";"2001##00332549";"Piso";"127900";"0";
"00329659";"SAREB";"Lleida";"Tremp";"DEL GENERAL CASSOLA";"3";"25620";"78628";"2001##00329659";"Oficina";"30500";"0";
"00335703";"SAREB";"Murcia";"San";"Miguel Zapata";"0006";"30730";"65611";"2001##00335703";"Piso";"92600";"0";
"00335189";"SAREB";"Baleares";"Inca";"LA BALANGUERA";"103";"7300";"61712";"2001##00335189";"Piso";"183100";"0";
"00319795";"SAREB";"Barcelona";"Badalona";"DEMOCRACIA";"58";"8914";"81221";"2001##00319795";"Piso";"131300";"0";
"00320207";"SAREB";"Barcelona";"Malgrat";"CARACAS";"10";"8380";"56511";"2001##00320207";"Piso";"87500";"0";
"00318025";"SAREB";"Barcelona";"Badalona";"PAU PIFERRER";"57";"8914";"53792";"2001##00318025";"Piso";"87700";"0";
